lat,lng,date
-8.08963928531351,-35.0193845679468,2021-01-17
-7.58358891752727,-34.9572264703845,2021-01-17
-8.67022542891995,-35.1919352274429,2021-01-17
-8.80213518972342,-34.9204821528249,2021-01-17
-9.32487779559662,-40.5196421179546,2021-01-18
-7.91932758334395,-34.4892000623715,2021-01-18
-8.29977606779788,-35.0609049007807,2021-01-18
-8.81901088209661,-34.9174810449889,2021-01-19
-9.10604026643426,-36.7473518189581,2021-01-19
-8.03504225943973,-34.8919359222919,2021-01-20
-8.24190376607607,-36.1839878538653,2021-01-20
-7.92039371148456,-40.1680433338936,2021-01-21
-7.58358891752727,-34.9572264703845,2021-01-21
-7.92955467370416,-36.3741316477206,2021-01-21
-9.10604026643426,-36.7473518189581,2021-01-21
-8.26728200109022,-35.9545527308727,2021-01-21
-7.92039371148456,-40.1680433338936,2021-01-21
-7.99097972268358,-34.8579224848846,2021-01-22
-8.50021884520259,-37.2368407276293,2021-01-22
-9.32487779559662,-40.5196421179546,2021-01-24
-8.06563018923402,-34.9961812110737,2021-01-24
-8.11810211689943,-35.0155226791868,2021-01-24
-7.94216611278255,-38.2197434607745,2021-01-24
-8.08673273688456,-34.9697790008575,2021-01-24
-8.76632663291361,-35.6972544458122,2021-01-24
-9.32487779559662,-40.5196421179546,2021-01-24
-8.01866379344392,-34.8816312368528,2021-01-24
-8.10550336310729,-34.9173641554615,2021-01-24
-7.74358422564402,-37.6238668776184,2021-01-24
-7.92039371148456,-40.1680433338936,2021-01-24
-8.93340823928592,-38.3017194616539,2021-01-24
-8.67022542891995,-35.1919352274429,2021-01-24
-7.96938122535191,-35.5516869655155,2021-01-24
-7.84248528850366,-34.9042630040251,2021-01-01
-9.10604026643426,-36.7473518189581,2021-01-01
-7.94443285748946,-34.8678249191164,2021-01-01
-7.90416471488806,-34.9195709582596,2021-01-01
-8.01265790707961,-34.9048578496919,2021-01-01
-7.68926803489769,-35.5313118657298,2021-01-01
-8.13019023942396,-34.9633096229571,2021-01-01
-7.80619377156263,-34.9312587974496,2021-01-01
